Entry,GO_Essential_Score
A0A087X1C5,2
A0A087X1C5,2
A0A0B4J2F0,2
A0A0B4J2F0,2
A0A0C5B5G6,6
A0A0C5B5G6,6
A0A0K2S4Q6,0
A0A0K2S4Q6,0
A0A0U1RRE5,0
A0A0U1RRE5,0
A0A0U1RRE5,0
A0A0U1RRE5,0
A0A0U1RRE5,0
A0A0U1RRE5,0
A0A1B0GTW7,0
A0A1B0GTW7,0
A0A1B0GTW7,0
A0A1B0GTW7,0
A0A1B0GTW7,0
A0A1B0GTW7,0
A0AV02,0
A0AV02,0
A0AV02,0
A0AV02,0
A0AV96,4
A0AV96,4
A0AVF1,0
A0AVF1,0
A0AVF1,0
A0AVF1,0
A0AVF1,0
A0AVF1,0
A0AVI4,0
A0AVI4,0
A0AVI4,0
A0AVK6,2
A0AVK6,2
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0AVT1,6
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR8,2
A0FGR9,0
A0FGR9,0
A0FGR9,0
A0FGR9,0
A0FGR9,0
A0FGR9,0
A0JLT2,2
A0JLT2,2
A0JLT2,2
A0JLT2,2
A0JLT2,2
A0JLT2,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JNW5,2
A0JP26,0
A0M8Q6,0
A0M8Q6,0
A0MZ66,0
A0MZ66,0
A0MZ66,0
A0MZ66,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJK1,0
A0PJY2,2
A0PJY2,2
