UniProt_ID,Gene_Name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,PCP_Hydrophobicity,PCP_Charge,SER_Entropy,Aromaticity,Protein_Length,Subcellular_Loc_Code,Label
C9JRZ8,AKR1B15,6.645569620253164,0.949367088607595,6.012658227848101,8.544303797468354,6.645569620253164,4.430379746835443,3.1645569620253164,6.012658227848101,9.81012658227848,8.544303797468354,2.2151898734177213,3.1645569620253164,5.379746835443038,3.481012658227848,3.481012658227848,4.430379746835443,5.063291139240507,6.962025316455696,1.89873417721519,3.1645569620253164,-0.35632911392405064,-0.00949367088607595,4.157817535668213,11.708860759493671,316.0,1.0,1
Q9ULW3,ABT1,12.5,0.3676470588235294,4.044117647058823,10.661764705882353,4.411764705882353,6.61764705882353,2.2058823529411766,1.4705882352941175,5.88235294117647,7.352941176470589,1.1029411764705883,1.4705882352941175,5.514705882352941,4.411764705882353,13.23529411764706,5.88235294117647,4.044117647058823,4.779411764705882,1.4705882352941175,2.5735294117647056,-0.9279411764705883,0.04632352941176471,3.961574917371563,8.455882352941178,272.0,1.0,1
Q9NYG5,ANAPC11,4.761904761904762,14.285714285714285,4.761904761904762,3.571428571428571,3.571428571428571,5.952380952380952,5.952380952380952,3.571428571428571,8.333333333333332,4.761904761904762,4.761904761904762,4.761904761904762,4.761904761904762,7.142857142857142,2.380952380952381,1.1904761904761905,1.1904761904761905,7.142857142857142,7.142857142857142,0.0,-0.23809523809523808,0.02976190476190476,4.0508376259763565,10.714285714285714,84.0,1.0,1
P63261,ACTG1,7.733333333333333,1.6,5.333333333333334,7.733333333333333,3.4666666666666663,7.466666666666668,2.4,7.733333333333333,5.066666666666666,7.199999999999999,4.533333333333333,2.4,5.066666666666666,3.2,4.8,6.666666666666667,6.933333333333333,5.6000000000000005,1.0666666666666667,4.0,-0.19893333333333335,-0.029599999999999998,4.180397115273267,8.533333333333333,375.0,1.0,1
Q96GS6,ABHD17A,8.709677419354838,3.5483870967741935,4.193548387096775,5.806451612903226,3.870967741935484,8.38709677419355,2.258064516129032,5.161290322580645,2.5806451612903225,9.67741935483871,1.2903225806451613,2.258064516129032,7.419354838709677,2.5806451612903225,6.774193548387098,9.35483870967742,4.516129032258064,5.483870967741936,0.967741935483871,5.161290322580645,-0.12290322580645165,-0.004193548387096772,4.114680822625223,10.0,310.0,2.0,1
Q9BS18,ANAPC13,4.054054054054054,0.0,12.162162162162163,13.513513513513514,0.0,5.405405405405405,1.3513513513513513,5.405405405405405,4.054054054054054,10.81081081081081,2.7027027027027026,5.405405405405405,8.108108108108109,5.405405405405405,4.054054054054054,2.7027027027027026,4.054054054054054,5.405405405405405,2.7027027027027026,2.7027027027027026,-0.9162162162162162,-0.17432432432432432,3.93542727137442,5.405405405405405,74.0,1.0,1
P49588,AARS1,9.194214876033058,1.3429752066115703,7.747933884297521,6.714876033057851,3.8223140495867765,8.057851239669422,1.756198347107438,5.06198347107438,6.8181818181818175,9.50413223140496,2.479338842975207,3.512396694214876,3.6157024793388426,4.338842975206612,5.06198347107438,5.06198347107438,5.371900826446281,7.024793388429752,0.8264462809917356,2.6859504132231407,-0.30423553719008267,-0.024070247933884296,4.127937388786852,7.334710743801653,968.0,1.0,1
P04075,ALDOA,11.538461538461538,2.197802197802198,3.8461538461538463,6.593406593406594,2.197802197802198,8.241758241758241,2.4725274725274726,5.4945054945054945,7.142857142857142,9.340659340659341,1.098901098901099,3.8461538461538463,5.21978021978022,4.670329670329671,4.1208791208791204,5.4945054945054945,6.043956043956044,6.043956043956044,0.8241758241758242,3.571428571428571,-0.2620879120879121,0.010714285714285716,4.110000270442131,6.593406593406594,364.0,1.0,1
Q53H80,AKIRIN2,12.807881773399016,2.4630541871921183,3.4482758620689653,7.389162561576355,3.9408866995073892,2.955665024630542,1.477832512315271,2.4630541871921183,5.911330049261084,9.35960591133005,2.4630541871921183,0.9852216748768473,7.8817733990147785,5.911330049261084,7.389162561576355,10.83743842364532,6.403940886699508,2.4630541871921183,0.0,3.4482758620689653,-0.5261083743842365,0.026108374384236452,3.978699076931192,7.389162561576355,203.0,1.0,1
P27144,AK4,5.381165919282512,0.8968609865470852,4.932735426008969,6.726457399103139,3.1390134529147984,6.726457399103139,3.587443946188341,6.278026905829597,6.278026905829597,10.762331838565023,1.7937219730941705,3.587443946188341,6.278026905829597,4.932735426008969,6.278026905829597,6.278026905829597,4.484304932735426,7.174887892376682,1.345291479820628,3.1390134529147984,-0.3762331838565023,0.012556053811659189,4.158905077462396,7.623318385650224,223.0,1.0,1
